location_id,location_name,datetimeLocal,latitude,longitude,co,no2,o3,pm10,pm2.5,so2,AQI
2161290,An Khanh,2025-04-06T08:00:00+07:00,21.0024,105.7181,615.9,20.9,18.17,54.3,49.2,0.12,135.0
2161290,An Khanh,2025-04-06T09:00:00+07:00,21.0024,105.7181,691.0,22.1,18.17,58.8,53.3,0.12,145.0
2161290,An Khanh,2025-04-06T10:00:00+07:00,21.0024,105.7181,811.3,28.9,18.17,63.1,57.2,0.12,152.0
2161290,An Khanh,2025-04-06T11:00:00+07:00,21.0024,105.7181,664.3,26.8,18.17,66.2,60.4,0.12,154.0
2161290,An Khanh,2025-04-06T12:00:00+07:00,21.0024,105.7181,654.7,24.1,18.17,89.5,87.4,0.12,167.0
2161290,An Khanh,2025-04-06T13:00:00+07:00,21.0024,105.7181,676.1,30.6,18.17,99.6,97.8,0.12,173.0
2161290,An Khanh,2025-04-06T14:00:00+07:00,21.0024,105.7181,709.6,32.2,18.17,97.3,90.0,0.12,169.0
2161290,An Khanh,2025-04-06T15:00:00+07:00,21.0024,105.7181,686.6,31.9,18.17,90.3,82.2,0.12,165.0
2161290,An Khanh,2025-04-06T16:00:00+07:00,21.0024,105.7181,698.9,28.7,18.17,58.9,53.4,0.12,145.0
2161290,An Khanh,2025-04-06T17:00:00+07:00,21.0024,105.7181,810.5,27.3,18.17,51.1,46.1,0.12,127.0
2161290,An Khanh,2025-04-06T18:00:00+07:00,21.0024,105.7181,643.5,24.5,18.17,41.2,37.0,0.12,105.0
2161290,An Khanh,2025-04-06T19:00:00+07:00,21.0024,105.7181,925.1,34.3,18.17,48.1,43.4,0.12,120.0
2161290,An Khanh,2025-04-06T20:00:00+07:00,21.0024,105.7181,665.1,33.6,18.17,43.0,38.7,0.12,109.0
2161290,An Khanh,2025-04-06T21:00:00+07:00,21.0024,105.7181,442.9,27.5,18.17,40.7,36.6,0.12,104.0
2161290,An Khanh,2025-04-06T22:00:00+07:00,21.0024,105.7181,528.8,32.4,18.17,51.4,46.5,0.12,128.0
2161290,An Khanh,2025-04-06T23:00:00+07:00,21.0024,105.7181,406.6,29.2,18.17,52.5,47.5,0.12,131.0
2161290,An Khanh,2025-04-07T00:00:00+07:00,21.0024,105.7181,293.5,31.5,18.17,35.6,32.0,0.12,93.0
2161290,An Khanh,2025-04-07T01:00:00+07:00,21.0024,105.7181,246.6,29.7,18.17,31.4,28.2,0.12,85.0
2161290,An Khanh,2025-04-07T02:00:00+07:00,21.0024,105.7181,224.5,19.2,18.17,29.3,26.2,0.12,81.0
2161290,An Khanh,2025-04-07T03:00:00+07:00,21.0024,105.7181,234.8,18.4,18.17,34.4,30.9,0.12,91.0
2161290,An Khanh,2025-04-07T04:00:00+07:00,21.0024,105.7181,198.4,20.2,18.17,45.0,40.6,0.12,114.0
2161290,An Khanh,2025-04-07T05:00:00+07:00,21.0024,105.7181,235.3,19.3,18.17,51.3,46.4,0.12,128.0
