timestamp,weather_icon,wind_speed,humidity,temperature,location
1990-01-01T07:00:00+07:00,cloudy,7.2 km/h,96%,14.6°,Hà Nội
1990-01-02T07:00:00+07:00,cloudy,7.2 km/h,85%,16.1°,Hà Nội
1990-01-03T07:00:00+07:00,cloudy,7.2 km/h,82%,16.8°,Hà Nội
1990-01-04T07:00:00+07:00,cloudy,7.2 km/h,88%,16.4°,Hà Nội
1990-01-05T07:00:00+07:00,cloudy,3.6 km/h,93%,16.9°,Hà Nội
1990-01-06T07:00:00+07:00,cloudy,7.2 km/h,91%,16.8°,Hà Nội
1990-01-07T07:00:00+07:00,cloudy,0.0 km/h,95%,17.1°,Hà Nội
1990-01-08T07:00:00+07:00,partly-cloudy-day,10.8 km/h,88%,20.1°,Hà Nội
1990-01-09T07:00:00+07:00,cloudy,10.8 km/h,88%,22.0°,Hà Nội
1990-01-10T07:00:00+07:00,partly-cloudy-day,18.0 km/h,88%,22.0°,Hà Nội
1990-01-11T07:00:00+07:00,cloudy,14.4 km/h,89%,21.1°,Hà Nội
1990-01-12T07:00:00+07:00,cloudy,7.2 km/h,89%,19.9°,Hà Nội
1990-01-13T07:00:00+07:00,cloudy,3.6 km/h,96%,18.2°,Hà Nội
1990-01-14T07:00:00+07:00,partly-cloudy-day,21.6 km/h,76%,25.4°,Hà Nội
1990-01-15T07:00:00+07:00,cloudy,18.0 km/h,73%,19.2°,Hà Nội
1990-01-16T07:00:00+07:00,partly-cloudy-day,10.8 km/h,65%,16.4°,Hà Nội
1990-01-17T07:00:00+07:00,partly-cloudy-day,11.2 km/h,78%,15.8°,Hà Nội
1990-01-18T07:00:00+07:00,cloudy,10.8 km/h,86%,16.9°,Hà Nội
1990-01-19T07:00:00+07:00,cloudy,21.6 km/h,74%,17.3°,Hà Nội
1990-01-20T07:00:00+07:00,cloudy,14.4 km/h,76%,13.6°,Hà Nội
1990-01-21T07:00:00+07:00,cloudy,7.2 km/h,71%,13.0°,Hà Nội
1990-01-22T07:00:00+07:00,cloudy,14.4 km/h,72%,13.8°,Hà Nội
1990-01-23T07:00:00+07:00,cloudy,14.4 km/h,58%,14.4°,Hà Nội
1990-01-24T07:00:00+07:00,cloudy,3.6 km/h,60%,15.0°,Hà Nội
1990-01-25T07:00:00+07:00,cloudy,14.4 km/h,62%,17.2°,Hà Nội
1990-01-26T07:00:00+07:00,cloudy,0.0 km/h,72%,17.5°,Hà Nội
1990-01-27T07:00:00+07:00,partly-cloudy-day,7.2 km/h,79%,18.2°,Hà Nội
1990-01-28T07:00:00+07:00,partly-cloudy-day,21.6 km/h,83%,18.4°,Hà Nội
1990-01-29T07:00:00+07:00,cloudy,7.2 km/h,89%,19.3°,Hà Nội
1990-01-30T07:00:00+07:00,cloudy,10.8 km/h,91%,19.3°,Hà Nội
1990-01-31T07:00:00+07:00,cloudy,25.2 km/h,67%,15.4°,Hà Nội
1990-02-01T07:00:00+07:00,cloudy,21.6 km/h,55%,11.1°,Hà Nội
1990-02-02T07:00:00+07:00,cloudy,7.2 km/h,86%,11.1°,Hà Nội
1990-02-03T07:00:00+07:00,cloudy,10.8 km/h,73%,12.3°,Hà Nội
1990-02-04T07:00:00+07:00,cloudy,43.2 km/h,67%,13.0°,Hà Nội
1990-02-05T07:00:00+07:00,cloudy,7.2 km/h,91%,11.8°,Hà Nội
1990-02-06T07:00:00+07:00,cloudy,10.8 km/h,89%,12.7°,Hà Nội
1990-02-07T07:00:00+07:00,cloudy,3.6 km/h,91%,14.4°,Hà Nội
1990-02-08T07:00:00+07:00,cloudy,0.0 km/h,94%,16.8°,Hà Nội
1990-02-09T07:00:00+07:00,cloudy,7.2 km/h,92%,19.4°,Hà Nội
1990-02-10T07:00:00+07:00,partly-cloudy-day,21.6 km/h,90%,20.3°,Hà Nội
1990-02-11T07:00:00+07:00,cloudy,7.2 km/h,81%,19.0°,Hà Nội
1990-02-12T07:00:00+07:00,cloudy,14.4 km/h,77%,19.8°,Hà Nội
