time,location,temperature,pressure,humidity,wind_speed,wind_direction,weather_icon,dew
2025-05-25 01:00:00,46 Lưu Quang Vũ,22.13,1013,84,3.28,308,04n,19.3
2025-05-25 01:00:00,An Khánh,22.12,1013,84,3.36,308,04n,19.29
2025-05-25 01:00:00,Hai BaTrung,22.12,1013,84,3.1,308,04n,19.29
2025-05-25 01:00:00,Minh Khai - Bắc Từ Liêm,22.12,1013,84,3.35,306,04n,19.29
2025-05-25 01:00:00,Vân Hà,22.17,1013,81,3.12,348,04n,18.76
2025-05-25 01:00:00,Đào Duy Từ,22.09,1013,84,3.05,308,04n,19.26
2025-05-25 02:00:00,46 Lưu Quang Vũ,22.02,1013,85,2.87,301,04n,19.38
2025-05-25 02:00:00,An Khánh,22.02,1013,85,2.98,294,04n,19.38
2025-05-25 02:00:00,Hai BaTrung,22.0,1013,84,2.58,310,04n,19.17
2025-05-25 02:00:00,Minh Khai - Bắc Từ Liêm,22.02,1013,85,2.88,292,04n,19.38
2025-05-25 02:00:00,Vân Hà,22.04,1013,80,3.24,17,04n,18.43
2025-05-25 02:00:00,Đào Duy Từ,21.96,1013,84,2.41,312,04n,19.13
2025-05-25 03:00:00,46 Lưu Quang Vũ,22.09,1013,85,3.21,310,04n,19.45
2025-05-25 03:00:00,An Khánh,22.06,1013,86,3.27,297,10n,19.61
2025-05-25 03:00:00,Hai BaTrung,22.1,1013,83,3.03,325,04n,19.08
2025-05-25 03:00:00,Minh Khai - Bắc Từ Liêm,22.06,1013,86,3.14,295,10n,19.61
2025-05-25 03:00:00,Vân Hà,22.14,1013,79,3.89,18,04n,18.33
2025-05-25 03:00:00,Đào Duy Từ,22.07,1013,83,2.88,327,04n,19.05
2025-05-25 04:00:00,46 Lưu Quang Vũ,22.13,1013,84,2.69,314,04n,19.3
2025-05-25 04:00:00,An Khánh,22.08,1013,86,2.78,296,04n,19.63
2025-05-25 04:00:00,Hai BaTrung,22.14,1013,83,2.68,332,04n,19.12
2025-05-25 04:00:00,Minh Khai - Bắc Từ Liêm,22.08,1013,86,2.69,295,04n,19.63
2025-05-25 04:00:00,Vân Hà,22.11,1013,78,3.81,15,04n,18.1
2025-05-25 04:00:00,Đào Duy Từ,22.12,1013,83,2.6,335,04n,19.1
2025-05-25 05:00:00,46 Lưu Quang Vũ,22.16,1013,84,2.54,330,04n,19.33
2025-05-25 05:00:00,An Khánh,22.15,1013,86,2.42,315,04n,19.7
2025-05-25 05:00:00,Hai BaTrung,22.13,1013,82,2.76,341,04n,18.91
2025-05-25 05:00:00,Minh Khai - Bắc Từ Liêm,22.13,1013,86,2.28,311,04n,19.68
2025-05-25 05:00:00,Vân Hà,22.03,1013,76,3.48,11,04n,17.61
2025-05-25 05:00:00,Đào Duy Từ,22.12,1013,82,2.6,342,04n,18.9
